sep=,
"Name","Current balance","Account","Transfers","Description","Payee","Category","Date","Time","Amount","Currency","Check #"
"88 Madison Joint Account","2,023.85","","","","","","","","","",""
"","","88 Madison Joint Account","","ORIG CO NAME:AIRBNB PAYMENTS CO ENTRY DESCR:JBUGGGDG56 SEC:PPD ORIG ID:3263051428","Payment","Hotel","03/27/2019","12:00 PM","125.91","USD",""
"","","88 Madison Joint Account","","ORIG CO NAME:AIRBNB PAYMENTS CO ENTRY DESCR:JBUGGGDG56 SEC:PPD ORIG ID:3263051428","Payment","Hotel","03/27/2019","12:00 PM","350.75","USD",""
"","","88 Madison Joint Account","","VENMO PAYMENT 1885269162 WEB ID: 3264681992","VENMO PAYMENT","Bills > Electricity","03/26/2019","12:00 PM","-25.00","USD",""
"","","88 Madison Joint Account","","AIRBNB PAYMENTS GTLQVXUEEG PPD ID: 3263051428","Payment","Hotel","03/26/2019","12:00 PM","141.52","USD",""
"","","88 Madison Joint Account","","VENMO PAYMENT 1885268866 WEB ID: 3264681992","VENMO PAYMENT","Bills > Electricity","03/26/2019","12:00 PM","-70.00","USD",""
"","","88 Madison Joint Account","","AIRBNB PAYMENTS GVKNYVSMC2 PPD ID: 3263051428","Payment","Hotel","03/26/2019","12:00 PM","211.07","USD",""
"","","88 Madison Joint Account","","AIRBNB PAYMENTS IWESY4MXLX PPD ID: 3263051428","Payment","Hotel","03/26/2019","12:00 PM","128.04","USD",""
"","","88 Madison Joint Account","","AIRBNB PAYMENTS ZV3TWX7FE3 PPD ID: 3263051428","Payment","Hotel","03/26/2019","12:00 PM","65.96","USD",""
